station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
4013,Convent Ave & W 151 St,8049.10,40.82831,-73.942924,71,"CREDITCARD,KEY",24,false,0,2,22,0,true,true,true,false,2021-11-08T00:00:00
4056,Broadway & W 165 St,8191.01,40.839137,-73.941409,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-11-09T00:00:00
4061,Fort Washington Ave & W 173 St,8320.01,40.84522,-73.940493,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-11-08T00:00:00
4063,Wadsworth Ave & W 175 St,8299.03,40.846052,-73.937648,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-11-09T00:00:00
4070,W 180 St & Ft Washington Ave,8358.03,40.849972,-73.938423,71,"CREDITCARD,KEY",24,false,0,1,23,0,true,true,true,false,2021-11-08T00:00:00
4229,Sheridan Ave & E 172 St,8229.04,40.840494,-73.911479,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-11-08T00:00:00
4285,46 St & 25 Ave,6907.03,40.765753,-73.90676,71,"CREDITCARD,KEY",24,false,0,24,0,0,true,false,false,false,2021-11-09T00:00:00
4536,Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.735937584463286,-74.030304551124573,311,"CREDITCARD,KEY",24,false,0,1,23,0,true,true,true,false,2021-11-08T00:00:00
4239,E 50 St & Park Ave,6659.10,40.757334,-73.974235,71,"CREDITCARD,KEY",25,false,0,0,25,0,true,true,true,false,2021-11-08T00:00:00
4255,42 Pl & Northern Blvd,6520.07,40.753091,-73.920603,71,"CREDITCARD,KEY",25,false,0,1,24,0,true,true,true,false,2021-11-08T00:00:00
4438,W 186 St & St. Nicholas Ave,8416.10,40.852253,-73.931308,71,"CREDITCARD,KEY",26,false,0,0,26,0,true,true,true,false,2021-11-08T00:00:00
4524,Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.0324530005455,311,"CREDITCARD,KEY",26,false,0,23,0,3,true,true,true,false,2021-11-09T00:00:00
4624,Ryer Ave & E 182 St,8494.06,40.8558,-73.89956,71,"CREDITCARD,KEY",26,false,0,0,26,0,true,true,true,false,2021-11-08T00:00:00
335,Washington Pl & Broadway,5755.01,40.72903917,-73.99404649,71,"CREDITCARD,KEY",27,false,0,1,26,0,true,true,true,false,2021-11-09T00:00:00
3172,W 74 St & Columbus Ave,7230.10,40.7785669,-73.97754961,71,"CREDITCARD,KEY",27,false,0,0,27,0,true,true,true,false,2021-11-09T00:00:00
4034,Hamilton Pl & W 138 St,7920.01,40.821728,-73.952761,71,"CREDITCARD,KEY",27,false,0,1,26,0,true,true,true,false,2021-11-08T00:00:00
4055,W 165 St & Fort Washington Ave,8226.05,40.84004,-73.942939,71,"CREDITCARD,KEY",27,false,0,1,26,0,true,true,true,false,2021-11-08T00:00:00
4186,E 149 St & Park Ave,7884.04,40.818154,-73.925294,71,"CREDITCARD,KEY",27,false,0,1,26,0,true,true,true,false,2021-11-08T00:00:00
